beine	N   ??
setting	N   asetus                           ??
åring	N	                    ???
pre	N	edeltävä    enkeltsituasjon ??
kane	N   reki???	             
henhold	N	    I henhold til   suhteessa   johonkin nähden            ??
hal	N	 nuotan veto    ???                           
ill	N	huono   voimakas (kipu)             ???
gene	N   sanonnoissa vaiva                   ???
gradering	N	arvojärjestykseen laitto???               
e.l. eller lignende	N	  tai samanlainen   ??? miten laitan
opptatthet	N	kiinnostuneisuus    kiireisyys  være opptatt???
oppbygning	N	rakentaminen    ???
trass	N	uhma    sanonnoissa uhallaan siitä huolimatta ???
bymisjon	N	evankelioiminen ja avustaminen kaupungissa  ??
sammenstilling	N	yhteen kokoaminen   ???
fasilitet	N	mukavuudet  ???
bevegelsesutslag	N	liikkuvuus  ???
