ball	N	pallo; tanssiaiset
barriere	N	este
base	N	emäs; tukikohta; asemapaikka
bl.a.	N	mm.
borrelås	N	tarrakiinnitys
etterforskning	N	tutkinta; etsintä
forgjengelighet	N	katoavaisuus; kuolevaisuus
gen	N	geeni; perintötekijä
gjerde	N	aita
heltid	N	på - täyspäiväinen
informasjon	N	tieto; tiedotus
kur	N	kuuri; hoito
registerdata	N	rekisteritiedot rekisteröydyt tiedot
rolle	N	rooli; osa
spiker	N	naula
stråle	N	säde; (væske) suihku
svaberg	N	paljas kallio
symbol	N	symboli vertauskuva
tallerken	N	lautanen
trykk	N	paino; paine; isku
tyrker	N	turkkilainen
